,League_from,Team_from
437,League One,SH Shenxin
438,League One,Sheffield Utd.
439,League One,Sunderland
440,League One,ZJ Greentown
441,Liga 1,CFR Cluj
442,Liga 1,Dinamo Bukarest
443,Liga 1,FCS Bucharest
444,Liga 1,Rapid Bucharest
445,Liga 1 - Championship group,FCS Bucharest
446,Liga MX Apertura,Atlas
447,Liga MX Apertura,Chivas
448,Liga MX Apertura,León
449,Liga MX Apertura,Morelia
450,Liga MX Apertura,Santos Laguna
451,Liga MX Apertura,UNAM Pumas
452,Liga MX Clausura,América
453,Liga MX Clausura,Atlas
454,Liga MX Clausura,CD Cruz Azul
455,Liga MX Clausura,CF Pachuca
456,Liga MX Clausura,Chiapas FC
457,Liga MX Clausura,Chivas
458,Liga MX Clausura,Club Tijuana
459,Liga MX Clausura,León
460,Liga MX Clausura,Monterrey
461,Liga MX Clausura,Morelia
462,Liga MX Clausura,Necaxa
463,Liga MX Clausura,Santos Laguna
464,Liga MX Clausura,Tigres UANL
465,Liga MX Clausura,Toluca
466,Liga MX Clausura,UNAM Pumas
467,Liga NOS,Belenenses
468,Liga NOS,Benfica
469,Liga NOS,Boavista
470,Liga NOS,Braga
471,Liga NOS,Coimbra
472,Liga NOS,FC Porto
473,Liga NOS,Feirense
474,Liga NOS,Leiria
475,Liga NOS,Marítimo
476,Liga NOS,Nacional
477,Liga NOS,Paços Ferreira
478,Liga NOS,Portimonense
479,Liga NOS,Rio Ave FC
480,Liga NOS,Sporting CP
481,Liga NOS,Vit. Guimarães
482,Liga NOS,Vitória Setúbal
483,Liga Águila II,Atl. Nacional
484,Liga Águila II,Deportivo Cali
485,Liga Águila II,Junior FC
486,Ligat ha'Al,M. Tel Aviv
487,Ligat ha'Al,Maccabi Haifa
488,Ligue 1,AJ Auxerre
489,Ligue 1,AS Nancy
490,Ligue 1,CS Sedan
491,Ligue 1,Dijon
492,Ligue 1,FC Lorient
493,Ligue 1,FC Metz
494,Ligue 1,FC Nantes
495,Ligue 1,FC Sochaux
496,Ligue 1,G. Bordeaux
497,Ligue 1,Guingamp
498,Ligue 1,LOSC Lille
499,Ligue 1,Le Mans
500,Ligue 1,Lens
501,Ligue 1,Marseille
502,Ligue 1,Monaco
503,Ligue 1,Montpellier
504,Ligue 1,OGC Nice
505,Ligue 1,Olympique Lyon
506,Ligue 1,Paris SG
507,Ligue 1,R. Strasbourg
508,Ligue 1,Reims
509,Ligue 1,SC Amiens
510,Ligue 1,SC Bastia
511,Ligue 1,SCO Angers
512,Ligue 1,SM Caen
513,Ligue 1,Saint-Étienne
514,Ligue 1,Stade Brest 29
515,Ligue 1,Stade Rennais
516,Ligue 1,Toulouse
517,Ligue 1,Troyes
518,Ligue 1,Valenciennes FC
519,Ligue 2,AC Le Havre
520,Ligue 2,AJ Auxerre
521,Ligue 2,AS Nancy
522,Ligue 2,CS Sedan
523,Ligue 2,Dijon
524,Ligue 2,FC Lorient
525,Ligue 2,FC Metz
526,Ligue 2,FC Nantes
527,Ligue 2,FC Sochaux
528,Ligue 2,Guingamp
529,Ligue 2,Istres FC
530,Ligue 2,Le Mans
531,Ligue 2,Lens
532,Ligue 2,Monaco
533,Ligue 2,Montpellier
534,Ligue 2,R. Strasbourg
535,Ligue 2,SC Bastia
536,Ligue 2,SM Caen
537,Ligue 2,Saint-Étienne
538,Ligue 2,Troyes
539,Ligue I Pro,Esperance
540,MLS,Chicago Fire
541,MLS,NY Red Bulls
542,MLS,Revolution
543,MLS,Toronto FC
544,NB I.,Ferencváros
545,OBOS-ligaen,Stabaek IF
546,Premier League,Ahly
547,Premier League,Arsenal
548,Premier League,Aston Villa
549,Premier League,Birmingham
550,Premier League,Blackburn
551,Premier League,Bolton
552,Premier League,Bournemouth
553,Premier League,Bradford City
554,Premier League,Burnley
555,Premier League,Charlton
556,Premier League,Chelsea
557,Premier League,Coventry City
558,Premier League,Crystal Palace
559,Premier League,Derby
560,Premier League,El Masry
561,Premier League,Enppi
562,Premier League,Everton
563,Premier League,Fulham
564,Premier League,Huddersfield
565,Premier League,Hull City
566,Premier League,Ipswich
567,Premier League,Leeds
568,Premier League,Leicester
569,Premier League,Liverpool
570,Premier League,Man City
571,Premier League,Man Utd
572,Premier League,Middlesbrough
573,Premier League,Newcastle
574,Premier League,Norwich
575,Premier League,Portsmouth
576,Premier League,QPR
577,Premier League,Reading
578,Premier League,Southampton
579,Premier League,Spurs
580,Premier League,Stoke City
581,Premier League,Sunderland
582,Premier League,Swansea
583,Premier League,Watford
584,Premier League,West Brom
585,Premier League,West Ham
586,Premier League,Wigan
587,Premier League,Wolves
588,Premier Liga,Anzhi
589,Premier Liga,CSKA Moscow
590,Premier Liga,Dinamo Moscow
591,Premier Liga,Dnipro
592,Premier Liga,Dynamo Kyiv
593,Premier Liga,FK Moskau
594,Premier Liga,KS Samara
595,Premier Liga,Krasnodar
596,Premier Liga,Kuban Krasnodar
597,Premier Liga,Loko Moscow
598,Premier Liga,Metalist
599,Premier Liga,Metalurh D.
600,Premier Liga,Metalurh Z.
601,Premier Liga,Rostov
602,Premier Liga,Rotor Volgograd
603,Premier Liga,Rubin Kazan
604,Premier Liga,Saturn
605,Premier Liga,Shakhtar D.
606,Premier Liga,Spartak Moscow
607,Premier Liga,Spartak V.
608,Premier Liga,Tom Tomsk
609,Premier Liga,Torpedo Moscow
610,Premier Liga,Zenit S-Pb
611,Premier Liga,Zorya Lugansk
612,Premiership,Celtic
613,Premiership,Hamilton Acad.
614,Premiership,Heart of Midl.
615,Premiership,Hibernian FC
616,Premiership,Motherwell FC
617,Premiership,Rangers
618,Primavera B,Inter U19
619,Primera B Nacional,Instituto
620,Primera B Nacional,River Plate
621,Primera Div. Apertura,Limón FC
622,Primera División,Argentinos
623,Primera División,Audax Italiano
624,Primera División,Boca Juniors
625,Primera División,CA Rosario
626,Primera División,Colo Colo
627,Primera División,Estudiantes
628,Primera División,Huracán
629,Primera División,Independiente
630,Primera División,Lanús
631,Primera División,Nacional
632,Primera División,Peñarol
633,Primera División,Racing Club
634,Primera División,Rentistas
635,Primera División,River Plate
636,Primera División,U. de Chile
637,Primera División,Vélez Sarsfield
638,Professional League,Al-Ettifaq
639,Professional League,Hilal
640,Professional League,Shabab
641,Proximus League,KV Mechelen
642,Regionalliga Nord,Wattenscheid 09
643,Rel. Ligue 1,FC Lorient
644,Second Division (bis 03/04),Barnsley FC
645,Second Division (bis 03/04),Brighton
646,Second Division (bis 03/04),Tranmere Rovers
647,Segunda División,Maldonado
648,Serie A,AC Milan
649,Serie A,AS Livorno
650,Serie A,AS Roma
651,Serie A,Atalanta
652,Serie A,Bari
653,Serie A,Bologna
654,Serie A,Brescia
655,Serie A,Cagliari Calcio
656,Serie A,Catania
657,Serie A,Chievo Verona
658,Serie A,FC Empoli
659,Serie A,Fiorentina
660,Serie A,Genoa
